Пакет,Уязвимость,Оперативное обновление
cgal,CVE-2020-28613,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28614,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28615,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28616,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28617,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28618,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28619,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28620,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28621,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28622,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28623,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28624,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28625,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28626,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28627,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28628,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28629,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28630,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28631,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28632,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28633,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28634,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28635,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-28636,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35628,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35629,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35630,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35631,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35632,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35633,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35634,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35635,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
cgal,CVE-2020-35636,БЮЛЛЕТЕНЬ №2022-1221SE17MD (1.7.3.UU.1)
chromium,CVE-2019-5815,БЮЛЛЕТЕНЬ №2022-1110SE17 (1.7.3)
chromium,CVE-2020-15995,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
chromium,CVE-2020-16043,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
chromium,CVE-2020-16044,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
chromium,CVE-2021-21106,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
chromium,CVE-2021-21107,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
